year,product_chapter,exporter,value_trln_USD
1996,30,AUS,0.00000024
1996,30,NLD,0.00000013
1996,30,IND,0.00000005
1996,30,JPN,0.00000003
1996,30,Other,0.00000006
1996,31,NZL,0.00000008
1996,31,AUS,0.00000002
1996,32,NZL,0.00000015
1996,32,NLD,0.00000014
1996,32,AUS,0.00000007
1996,32,GRC,0.00000003
1996,32,FRA,0.00000002
1996,32,Other,0.00000001
1996,33,FRA,0.00000031
1996,33,GBR,0.00000015
1996,33,AUS,0.00000014
1996,33,HKG,0.00000005
1996,33,DEU,0.00000004
1996,33,Other,0.00000012
1996,34,CHN,0.00000019
1996,34,AUS,0.00000013
1996,34,FRA,0.00000005
1996,34,SGP,0.00000002
1996,34,BEL,0.00000002
1996,34,Other,0.00000004
1996,35,AUS,0.00000003
1996,35,NZL,0.00000001
1996,35,FRA,0.00000000
1996,36,SWE,0.00000005
1996,36,NZL,0.00000000
1996,36,AUS,0.00000000
1996,37,AUS,0.00000027
1996,37,NZL,0.00000004
1996,37,SGP,0.00000001
1996,37,JPN,0.00000001
1996,38,AUS,0.00000032
1996,38,NZL,0.00000023
1996,38,JPN,0.00000009
1996,38,NLD,0.00000004
1996,38,MYS,0.00000003
1996,38,Other,0.00000003
1996,39,AUS,0.00000063
1996,39,NZL,0.00000042
1996,39,HKG,0.00000029
1996,39,NLD,0.00000013
1996,39,SGP,0.00000010
1996,39,Other,0.00000014
1996,40,AUS,0.00000099
1996,40,NZL,0.00000047
1996,40,JPN,0.00000018
1996,40,KOR,0.00000008
1996,40,PHL,0.00000007
1996,40,Other,0.00000008
1996,42,HKG,0.00000041
1996,42,AUS,0.00000019
1996,42,NZL,0.00000004
1996,42,SGP,0.00000003
1996,42,FRA,0.00000001
1996,42,Other,0.00000001
1996,43,AUS,0.00000000
1996,44,NZL,0.00000046
1996,44,SGP,0.00000012
1996,44,RUS,0.00000005
1996,44,AUS,0.00000005
1996,44,GHA,0.00000003
1996,44,Other,0.00000001
1996,45,AUS,0.00000000
1996,46,HKG,0.00000000
1996,46,PHL,0.00000000
1996,48,DEU,0.00000060
1996,48,AUS,0.00000049
1996,48,NZL,0.00000044
1996,48,HKG,0.00000010
1996,48,FRA,0.00000008
1996,48,Other,0.00000020
1996,49,AUS,0.00000027
1996,49,FRA,0.00000011
1996,49,NZL,0.00000008
1996,49,GBR,0.00000003
1996,49,USA,0.00000000
1996,49,Other,0.00000001
1996,51,NZL,0.00000000
1996,51,SGP,0.00000000
1996,51,AUS,0.00000000
1996,52,SGP,0.00000028
1996,52,HKG,0.00000002
1996,52,NZL,0.00000002
1996,52,AUS,0.00000002
1996,52,JPN,0.00000001
1996,54,HKG,0.00000001
1996,54,AUS,0.00000000
1996,54,SGP,0.00000000
1996,54,NZL,0.00000000
1996,55,SGP,0.00000013
1996,55,AUS,0.00000002
1996,55,HKG,0.00000002
1996,55,JPN,0.00000001
1996,55,NZL,0.00000001
1996,56,THA,0.00000002
1996,56,HKG,0.00000001
1996,56,NZL,0.00000001
1996,56,JPN,0.00000001
1996,56,AUS,0.00000000
1996,56,Other,0.00000000
1996,57,AUS,0.00000005
1996,57,SGP,0.00000001
1996,57,NZL,0.00000000
1996,57,FRA,0.00000000
1996,57,BEL,0.00000000
