imports_trln_USD,exports_trln_USD
0.00008158,0.00025003
0.00011107,0.00001600
0.00004949,0.00008292
0.00005396,0.00009614
0.00019489,0.00004734
0.00011690,0.00023325
0.00026583,0.00056718
0.00649333,0.00209905
0.00008978,0.00052540
0.00019041,0.00028699
0.00055654,0.00005693
0.00004735,0.00046276
0.00013326,0.00008688
0.00020140,0.00002164
0.00008699,0.00001480
0.00003553,0.00007564
0.00000934,0.00000975
0.00002964,0.00000157
0.00028839,0.00007482
0.00064636,0.00016684
0.00022815,0.00025627
0.00004565,0.00017700
0.00001533,0.00001278
0.00001804,0.00001226
0.00008966,0.00029324
0.00000352,0.00000003
0.00000022,0.00000007
0.00004822,0.00000066
0.00061000,0.00027644
0.00005176,0.00002429
0.00000123,0.00000787
0.00008238,0.00000893
0.00011733,0.00000497
0.00001097,0.00000963
0.00012479,0.00006466
0.00014279,0.00001340
0.00003744,0.00002126
0.00002974,0.00000636
0.00003877,0.00000142
0.00006419,0.00002300
0.00005817,0.00000167
0.00011380,0.00009201
0.00010275,0.00046635
0.00006629,0.00002973
0.00013570,0.00008033
0.00000175,0.00000245
0.00000117,0.00000059
0.00000125,0.00000038
0.00006197,0.00003695
0.00011415,0.00004608
0.00007262,0.00007986
0.00015158,0.00014570
0.00029285,0.00631065
0.00021085,0.00063120
0.00005636,0.00020955
0.00004916,0.00000450
0.00011428,0.00035962
0.00000288,0.00000557
0.00001982,0.00000149
0.00009407,0.00002566
0.00001946,0.00009315
0.00006353,0.00051338
0.00005593,0.00001485
0.00210387,0.00135216
0.00088529,0.00049341
0.00006409,0.00030960
0.00104837,0.00018604
0.00008407,0.00010795
0.00004779,0.00015979
0.00034678,0.00021193
0.00001304,0.00000192
0.00000237,0.00000038
0.00000557,0.00000405
0.00012842,0.00007578
0.00004328,0.00003926
0.00003283,0.00000188
0.00000175,0.00000203
0.00051912,0.00051232
0.00004608,0.00001883
0.00004230,0.00027286
0.00001539,0.00000053
0.00000024,0.00000122
0.00012465,0.00071878
0.00003703,0.00002021
0.00036450,0.00018005
0.00013522,0.00015636
0.00003333,0.00005001
0.00012646,0.00032248
0.00015201,0.00006689
0.00012315,0.00016019
0.00006539,0.00011602
0.00024923,0.00005802
0.00015061,0.00028454
0.00042721,0.00063738
0.00740688,0.00319562
0.00011138,0.00064908
0.00029049,0.00045560
0.00071019,0.00006735
0.00005416,0.00067706
0.00019448,0.00010732
0.00027496,0.00004765
0.00010133,0.00002356
0.00004655,0.00006729
0.00001196,0.00000641
0.00003986,0.00000148
0.00024779,0.00009947
0.00092710,0.00025604
0.00029982,0.00036019
0.00005378,0.00021873
0.00002157,0.00001604
0.00001818,0.00001196
0.00013814,0.00041730
0.00000402,0.00000001
0.00000053,0.00000006
0.00006181,0.00000142
0.00076835,0.00031343
0.00005283,0.00003165
0.00000140,0.00001130
0.00008467,0.00001475
0.00015107,0.00000582
0.00001360,0.00000856
0.00013103,0.00008469
0.00016339,0.00000307
0.00005571,0.00003465
0.00003020,0.00000951
0.00005275,0.00000119
0.00005919,0.00001051
0.00010956,0.00000164
0.00010364,0.00010193
0.00015268,0.00052606
0.00007544,0.00005802
0.00014456,0.00008656
0.00000269,0.00000235
0.00000177,0.00000091
0.00000253,0.00000045
0.00008603,0.00005077
0.00016321,0.00005418
0.00009712,0.00014690
0.00014288,0.00016455
0.00049843,0.00849356
0.00029031,0.00111351
0.00007212,0.00020921
0.00004758,0.00001456
0.00015139,0.00036005
0.00000278,0.00000918
0.00002449,0.00000062
0.00008822,0.00003630
0.00003693,0.00008796
0.00007759,0.00002646
0.00008462,0.00002147
0.00282225,0.00151408
0.00121495,0.00089944
0.00012949,0.00059172
0.00188970,0.00015669
0.00006507,0.00017581
0.00003135,0.00014676
0.00045177,0.00036241
0.00001912,0.00000222
0.00000266,0.00000042
0.00000739,0.00000558
0.00015992,0.00010086
0.00005600,0.00004888
0.00004731,0.00000206
0.00000173,0.00000133
0.00017479,0.00084856
0.00003041,0.00002740
0.00005509,0.00027308
0.00002102,0.00000051
0.00000057,0.00000152
0.00016038,0.00057520
0.00004783,0.00002608
0.00011518,0.00011570
0.00016038,0.00020305
0.00005020,0.00008054
0.00029257,0.00027186
0.00020305,0.00009620
0.00007230,0.00026805
0.00008488,0.00021616
0.00028558,0.00007419
0.00019776,0.00039135
0.00045927,0.00083004
0.00923464,0.00364391
0.00013372,0.00086747
0.00036095,0.00058302
0.00090045,0.00007711
0.00007137,0.00089999
0.00022642,0.00015605
0.00033484,0.00019508
0.00012166,0.00004391
0.00005889,0.00011102
0.00001558,0.00000548
0.00007054,0.00000131
0.00033222,0.00017678
0.00124561,0.00032280
0.00041023,0.00058997
0.00006214,0.00026315
0.00002521,0.00002342
0.00002021,0.00001050
0.00017245,0.00056136
0.00000426,0.00000003
0.00000080,0.00000005
0.00006003,0.00000242
0.00075726,0.00036163
0.00005994,0.00005316
0.00000330,0.00001324
0.00010065,0.00001785
0.00019124,0.00001073
0.00001434,0.00000791
0.00014395,0.00006747
0.00020194,0.00000488
0.00006659,0.00004002
0.00004026,0.00001364
0.00005575,0.00000108
0.00007567,0.00000919
0.00009359,0.00000336
0.00013359,0.00012807
0.00020097,0.00061128
0.00008897,0.00008455
0.00013060,0.00011008
0.00000296,0.00000217
0.00000277,0.00000113
0.00000231,0.00000078
0.00012121,0.00005749
0.00020721,0.00007996
0.00014879,0.00016001
0.00021633,0.00018970
0.00078510,0.01288869
0.00042215,0.00156333
0.00011105,0.00024081
0.00005655,0.00000570
0.00021092,0.00048800
0.00000229,0.00001401
0.00003756,0.00000040
0.00010598,0.00003571
0.00004127,0.00009456
0.00009814,0.00003017
0.00010465,0.00003881
0.00378215,0.00185407
0.00181730,0.00118092
0.00020363,0.00153032
0.00248235,0.00028806
0.00010872,0.00015363
0.00003218,0.00019624
0.00066709,0.00050395
0.00002625,0.00000126
0.00000325,0.00000065
0.00001034,0.00000335
0.00020830,0.00012955
0.00008251,0.00006787
0.00006336,0.00000186
0.00000338,0.00000069
0.00011291,0.00151078
0.00002719,0.00003395
0.00008569,0.00019155
0.00002651,0.00000056
0.00000045,0.00000256
0.00025252,0.00057627
0.00010544,0.00002682
0.00008088,0.00010958
0.00021064,0.00023622
0.00005741,0.00009634
0.00032075,0.00027484
0.00030133,0.00004611
0.00012110,0.00041906
0.00011162,0.00015021
0.00035187,0.00009364
0.00022395,0.00052001
0.00063421,0.00125342
0.01039506,0.00361450
0.00018120,0.00110198
0.00046452,0.00061109
0.00127558,0.00009900
0.00011478,0.00121691
0.00026638,0.00019176
0.00045082,0.00002933
0.00017830,0.00004446
0.00008190,0.00010890
0.00001924,0.00000519
0.00005944,0.00000074
0.00042023,0.00012040
0.00163416,0.00039981
0.00054451,0.00077880
0.00007276,0.00023900
0.00004779,0.00002458
0.00002132,0.00001179
0.00022564,0.00059525
0.00000591,0.00000010
0.00000211,0.00000004
0.00006430,0.00000224
0.00096546,0.00042715
0.00007621,0.00004809
0.00001291,0.00001371
0.00011463,0.00001816
0.00019800,0.00001151
0.00001714,0.00001289
0.00018484,0.00007516
0.00022792,0.00001050
0.00008333,0.00003204
0.00005051,0.00001689
0.00007038,0.00000109
0.00011126,0.00002700
0.00011474,0.00000500
0.00024479,0.00012110
